date,countryIsoCode,users
2021-10-27,DE,454
2021-10-27,FR,333
2021-10-27,IT,583
2021-10-27,SE,192
2021-10-28,AT,33
2021-10-28,CH,41
2021-10-28,DE,379
2021-10-28,FR,357
2021-10-28,IT,388
2021-10-28,SE,190
2021-10-29,AT,29
2021-10-29,CH,43
2021-10-29,DE,377
2021-10-29,FR,288
2021-10-29,IT,417
2021-10-29,SE,172
2021-10-30,AT,20
2021-10-30,CH,30
2021-10-30,DE,188
2021-10-30,FR,140
2021-10-30,IT,233
2021-10-30,SE,65
2021-10-31,AT,18
2021-10-31,CH,29
2021-10-31,DE,187
2021-10-31,FR,141
2021-10-31,IT,224
2021-10-31,SE,67
2021-11-01,AT,29
2021-11-01,CH,42
2021-11-01,DE,378
2021-11-01,FR,189
2021-11-01,IT,326
2021-11-01,SE,189
2021-11-02,AT,42
2021-11-02,CH,45
2021-11-02,DE,465
2021-11-02,FR,393
2021-11-02,IT,482
2021-11-02,SE,204
2021-11-03,AT,44
2021-11-03,CH,51
2021-11-03,DE,504
2021-11-03,FR,438
2021-11-03,IT,639
2021-11-03,SE,223
2021-11-04,AT,48
2021-11-04,CH,47
2021-11-04,DE,481
2021-11-04,FR,418
2021-11-04,IT,498
2021-11-04,SE,190
2021-11-05,AT,50
2021-11-05,CH,49
2021-11-05,DE,407
2021-11-05,FR,340
2021-11-05,IT,452
2021-11-05,SE,173
2021-11-06,AT,23
2021-11-06,CH,27
2021-11-06,DE,207
2021-11-06,FR,164
2021-11-06,IT,288
2021-11-06,SE,77
2021-11-07,AT,25
2021-11-07,CH,18
2021-11-07,DE,230
2021-11-07,FR,144
2021-11-07,IT,242
2021-11-07,SE,61
2021-11-08,AT,42
2021-11-08,CH,50
2021-11-08,DE,458
2021-11-08,FR,355
2021-11-08,IT,517
2021-11-08,SE,209
2021-11-09,AT,48
2021-11-09,CH,58
2021-11-09,DE,457
2021-11-09,FR,332
2021-11-09,IT,477
2021-11-09,SE,187
2021-11-10,AT,47
2021-11-10,CH,42
2021-11-10,DE,444
2021-11-10,FR,338
2021-11-10,IT,432
2021-11-10,SE,204
2021-11-11,AT,40
2021-11-11,CH,41
2021-11-11,DE,452
2021-11-11,FR,178
2021-11-11,IT,463
2021-11-11,SE,195
2021-11-12,AT,39
2021-11-12,CH,43
2021-11-12,DE,354
2021-11-12,FR,293
2021-11-12,IT,464
2021-11-12,SE,171
2021-11-13,AT,22
2021-11-13,CH,19
2021-11-13,DE,207
2021-11-13,FR,147
2021-11-13,IT,263
2021-11-13,SE,81
2021-11-14,AT,21
2021-11-14,CH,23
2021-11-14,DE,245
2021-11-14,FR,156
2021-11-14,IT,236
2021-11-14,SE,89
